,2018rank,City_x,State_x,2018estimate,2010Census,Change,2016 land area,2016 population density,Location,city_key,state_key,Rank,Land area (sq mi),Land area (km2),Water area (sq mi),Water area (km2),Total area (sq mi),Total area (km2)
0,1,New York City,New York,"8,398,748","8,175,133",+2.74%,301.5 sq mi,"28,317/sq mi",40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City),newyorkcity,newyork,24.0,302.6,784,165.8,429,468.5,"1,213"
1,2,Los Angeles,California,"3,990,456","3,792,621",+5.22%,468.7 sq mi,"8,484/sq mi",34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles),losangeles,california,12.0,468.7,"1,214",34.0,88,502.7,"1,302"
2,3,Chicago,Illinois,"2,705,994","2,695,598",+0.39%,227.3 sq mi,"11,900/sq mi",41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago),chicago,illinois,32.0,227.6,589,6.5,17,234.1,606
3,4,Houston,Texas,"2,325,502","2,100,263",+10.72%,637.5 sq mi,"3,613/sq mi",29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston),houston,texas,9.0,599.6,"1,553",27.9,72,627.5,"1,625"
4,5,Phoenix,Arizona,"1,660,272","1,445,632",+14.85%,517.6 sq mi,"3,120/sq mi",33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix),phoenix,arizona,10.0,516.7,"1,338",1.2,3.1,517.9,"1,341"
5,6,Philadelphia,Pennsylvania,"1,584,138","1,526,006",+3.81%,134.2 sq mi,"11,683/sq mi",40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia),philadelphia,pennsylvania,69.0,134.1,347,8.6,22,142.7,370
6,7,San Antonio,Texas,"1,532,233","1,327,407",+15.43%,461.0 sq mi,"3,238/sq mi",29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio),sanantonio,texas,13.0,460.9,"1,194",5.8,15,466.7,"1,209"
7,8,San Diego,California,"1,425,976","1,307,402",+9.07%,325.2 sq mi,"4,325/sq mi",32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego),sandiego,california,21.0,325.2,842,47.2,122,372.4,965
8,9,Dallas,Texas,"1,345,047","1,197,816",+12.29%,340.9 sq mi,"3,866/sq mi",32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas),dallas,texas,18.0,340.5,882,45.3,117,385.8,999
9,10,San Jose,California,"1,030,119","945,942",+8.90%,177.5 sq mi,"5,777/sq mi",37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose),sanjose,california,48.0,176.5,457,3.4,8.8,180.0,466
10,11,Austin,Texas,"964,254","790,390",+22.00%,312.7 sq mi,"3,031/sq mi",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin),austin,texas,26.0,297.9,772,7.2,19,305.1,790
11,12,Jacksonville,Florida,"903,889","821,784",+9.99%,747.4 sq mi,"1,178/sq mi",30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville),jacksonville,florida,5.0,747.0,"1,935",127.6,330,874.6,"2,265"
12,13,Fort Worth,Texas,"895,008","741,206",+20.75%,342.9 sq mi,"2,491/sq mi",32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth),fortworth,texas,19.0,339.8,880,8.0,21,347.9,901
13,14,Columbus,Ohio,"892,533","787,033",+13.40%,218.5 sq mi,"3,936/sq mi",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus),columbus,ohio,34.0,217.2,563,5.9,15,223.1,578
